nombre,linea,combinacion
San Pablo,1,True
Neptuno,1,False
Pajaritos,1,False
Las Rejas,1,False
Ecuador,1,False
San Alberto Hurtado,1,False
U de Santiago,1,False
Estacion Central,1,False
Union Latinoamericana,1,False
Republica,1,False
Los Heroes,1,True
La Moneda,1,False
U de Chile,1,True
Santa Lucia,1,False
U Catolica,1,False
Baquedano,1,True
Salvador,1,False
Manuel Montt,1,False
Pedro de Valdivia,1,False
Los Leones,1,True
Tobalaba,1,True
El Golf,1,False
Alcantara,1,False
Escuela Militar,1,False
Hernando de Magallanes,1,False
Los Dominicos,1,False
Vespucio Norte,2,False
Zapadores,2,False
Dorsal,2,False
Einstein,2,False
Cementerios,2,False
Cerro Blanco,2,False
Patronato,2,False
Puente Cal y Canto,2,True
Santa Ana,2,True
Toesca,2,False
Parque O'Higgins,2,False
Rondizzoni,2,False
Franklin,2,True
El Llano,2,False
San Miguel,2,False
Lo Vial,2,False
Departamental,2,False
Ciudad del Nino,2,False
Lo Ovalle,2,False
El Parron,2,False
La Cisterna,2,True
El Bosque,2,False
Observatorio,2,False
Copa Lo Martinez,2,False
Hospital El Pino,2,False
Cristobal Colon,4,False
Francisco Bilbao,4,False
Principe de Gales,4,False
Simon Bolivar,4,False
Plaza Egana,4,True
Los Orientales,4,False
Grecia,4,False
Los Presidentes,4,False
Quilin,4,False
Las Torres,4,False
Macul,4,False
Vicuna Mackenna,4,True
Vicente Valdes,4,True
Rojas Magallanes,4,False
Trinidad,4,False
San Jose de la Estrella,4,False
Los Quillayes,4,False
Elisa Correa,4,False
Hospital Sotero del Rio,4,False
Protectora de la Infancia,4,False
Las Mercedes,4,False
Plaza de Puente Alto,4,False
Plaza de Maipu,5,False
Santiago Bueras,5,False
Del Sol,5,False
Monte Tabor,5,False
Las Parcelas,5,False
Laguna Sur,5,False
Barrancas,5,False
Pudahuel,5,False
Lo Prado,5,False
Blanqueado,5,False
Gruta de Lourdes,5,False
Quinta Normal,5,False
Cumming,5,False
Plaza de Armas,5,True
Bellas Artes,5,False
Parque Bustamante,5,False
Santa Isabel,5,False
Irarrazaval,5,True
Nuble,5,True
Rodrigo de Araya,5,False
Carlos Valdovinos,5,False
Camino Agricola,5,False
San Joaquin,5,False
Pedrero,5,False
Mirador,5,False
Bellavista de La Florida,5,False
